,Path_1,Path_2,Path_3,Path_4,Path_5,Path_6,Path_7,Path_8,Path_9,Path_10,Path_11,Path_12,Path_13,Path_14,Path_15,Path_16,Path_17,Path_18,Path_19,Path_20
0.44,4.984180965276574,5.366319380781282,4.75674638997771,4.688463108288218,5.104465185059354,4.683416564221328,4.369425943579312,4.7778535608839485,4.7737912730758145,5.438556397571536,5.046092813854872,5.289170158610532,4.966537673910113,4.951320270785614,4.835224344920926,5.180206441866261,4.782151211683086,4.8172047710899495,5.052783205942331,5.37893088718323
0.45,4.944917068817113,5.378757906692787,4.79504929192559,4.685296957197679,5.064846528996013,4.618478725079797,4.3705798083879115,4.808182037923104,4.763773987908074,5.370350678841758,5.067053045845346,5.332448754151434,4.986511204861263,4.929032433469271,4.855978771401425,5.100579828118769,4.766043946576876,4.8159455007511465,5.080855627633281,5.346900419994108
0.46,4.908534417206711,5.482890378034193,4.772789297446064,4.6838093877425955,5.082055442829371,4.699416557410512,4.3959259934144335,4.901511094428424,4.788458290615571,5.400229022941914,5.106962424241987,5.313807452046645,4.9419874041288985,4.9956089251875975,4.888788299423227,5.126725270169869,4.740667882036631,4.8293104085501515,5.064252996290621,5.340229763764011
0.47000000000000003,4.868123672501819,5.478833624391427,4.710279075461124,4.679120875267829,5.039092213452842,4.675656161494221,4.413768349709992,4.914108597060464,4.724701199654093,5.37944686713351,5.076576391029996,5.320202052902809,4.937003734169182,4.9056748640325925,4.927245030251553,5.102335556669391,4.638336560705536,4.8258855796770845,5.120224411303261,5.384450018947395
0.48,4.946210447934996,5.47873395475943,4.752167655469693,4.649650734926724,5.045831137638879,4.678205554676296,4.406350618636196,4.8978966897063465,4.708286632745282,5.402134740500789,5.030799167998009,5.351721700436249,4.909997352428589,4.974766504922213,4.958068823275165,5.117699861799811,4.6327367071907135,4.8018676737301496,5.184068376767068,5.339824980959349
0.49,4.9211627958306305,5.520164534096035,4.799853386246437,4.621693721601883,5.102148030647292,4.639148347123672,4.386678406575598,4.938660017806105,4.700346670282762,5.352196249363403,4.992668132416276,5.425374711641482,4.898695355036974,4.94981607493182,4.962234528351218,5.085661726716665,4.558078145669628,4.810711350336573,5.213619084896432,5.373907351200166
0.5,4.837660151293325,5.503355567726421,4.8202870384129435,4.554707921832054,5.141979101466356,4.642584485873904,4.390993447494586,5.008179751851847,4.758199853548425,5.311623999605996,5.06876457907663,5.4699620164808564,4.876999683650093,4.888144097687443,4.985181520039371,5.145606314388958,4.6431840681040875,4.798404878566707,5.2043663456618345,5.4462532898209775
0.51,4.841591063909054,5.490904992570177,4.77570187451418,4.585442804432183,5.123111745346104,4.640822672776348,4.359269836370715,4.981394273268873,4.729167469055898,5.311890419864896,5.1424875047783845,5.430877722566202,4.884000142343931,4.903848175360812,4.924198762712143,5.08345734057161,4.634708651908522,4.870063816167095,5.169722248832794,5.482638380874054
0.52,4.926410265202921,5.453642157037534,4.769340462641213,4.619095659634461,5.130804244935996,4.696019293109724,4.310309343373293,5.03282184648707,4.753881581715928,5.373400503201755,5.151903701978763,5.42608647378965,4.89732739354938,4.9151330371669815,4.966654342151994,5.0523867720667335,4.6172233385726695,4.907230748183459,5.2372652866836775,5.580762363023233
0.53,4.983781136103259,5.451263847196157,4.827766005694406,4.612435925288162,5.115907735840346,4.7318714255958305,4.313897853295318,5.047272194179802,4.731975580596283,5.323381282417832,5.216226945538744,5.431482004041943,4.895027820141226,4.915827614282793,4.962681892515476,5.04601476643296,4.650172468077072,4.973252976992529,5.202052454888047,5.671392483087667
0.54,5.00012564474585,5.527209733242637,4.850793845681543,4.562723355015744,5.14114322375239,4.741051605622255,4.232593920324345,5.021007593706177,4.688206793249036,5.33188764749201,5.094283008734719,5.431673069046889,4.846681241334621,4.870018590393729,4.9610834376810375,5.049922450758153,4.704438951644846,5.015899125660624,5.184323355142498,5.665224648605363
0.55,4.938453160826666,5.535533026824372,4.842979771938597,4.550316723009546,5.152332439699163,4.764294931689709,4.209977919745419,4.985709046908871,4.676146449103619,5.279547026793268,5.149852103915038,5.420010246744161,4.897800671373429,4.846076991680769,4.906931655096037,5.018054863540416,4.7249916474732,4.9727582170200755,5.234788450709686,5.684602892811702
0.56,4.960746579914516,5.55449148981955,4.775248171871383,4.569691529809285,5.167527940866902,4.745375266624322,4.200891510960576,4.984307601886844,4.713596700403629,5.233866208786975,5.107425179387207,5.433837525000859,4.875360175937635,4.8549482176160055,4.94312749877053,5.04836247293715,4.756487942150753,4.963340400044235,5.224567031122749,5.678845643827046
0.5700000000000001,4.891292231927875,5.556127114328745,4.707724875727434,4.6006027931545015,5.19639238939891,4.774785280300076,4.2234357534282845,5.0596409250912195,4.642621410295358,5.196967816074643,5.0840511669401565,5.452344087068591,4.831774871118609,4.850080811330583,4.939060750685419,4.988026596515254,4.761523500854691,4.97935582002109,5.299324832466436,5.686069070776046
0.58,4.8605579413364755,5.419492787947118,4.723614115038683,4.565027012141686,5.233398016829882,4.782857917472334,4.212120486689229,5.05745180457344,4.64321076148748,5.2047267705683415,5.044589111025271,5.506494233510258,4.7734627699431655,4.819873558275845,4.974203204298592,5.000405876084266,4.697072149733686,4.988007143027313,5.3074263392458185,5.667430009498897
0.59,4.848875835905678,5.445342545427023,4.744634806491469,4.563941677558505,5.227456489037533,4.8276635160102375,4.214380629925725,5.060587138926156,4.583149190603734,5.267887613253942,5.031589372497919,5.476790688208588,4.82919659357873,4.906253725583959,4.945699813243,4.936511152131757,4.716315355088631,5.072184885762999,5.393472420511378,5.62841660945327
0.6,4.866414908963144,5.493627938675913,4.7389804617334415,4.507143174768652,5.291888999567578,4.752053338537484,4.201004199043018,5.045749436492717,4.594631762861562,5.280275776974259,5.074696669020458,5.395328852067938,4.837530928209331,4.895437558616795,4.985790701695057,5.002214891125382,4.668286440809759,5.059621780009476,5.361395388843385,5.613772650747935
